Combo,Opt Acc.,Conf Range,80% Acc,80% Pur,80% Comp,90% Acc,90% Pur,90% Comp,95% Acc,95% Pur,95% Comp,99% Acc,99% Pur,99% Comp,99.9% Acc,99.9% Pur,99.9% Comp
"(1, 2, 5, 8, 9)",0.855072463768116,"[1.0, 1.0]",0.7681159420289855,0.4230769230769231,0.9166666666666666,0.7971014492753623,0.4583333333333333,0.9166666666666666,0.782608695652174,0.43478260869565216,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334
"(2, 5, 8, 9, 12)",0.2753623188405797,"[1.0, 1.0]",0.2028985507246377,0.16923076923076924,0.9166666666666666,0.21739130434782608,0.171875,0.9166666666666666,0.2318840579710145,0.1746031746031746,0.9166666666666666,0.2318840579710145,0.1746031746031746,0.9166666666666666,0.2608695652173913,0.1694915254237288,0.8333333333333334
"(2, 5, 8, 10, 11)",0.8985507246376812,"[0.8416, 0.9518000000000001]",0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8405797101449275,0.5714285714285714,0.3333333333333333,0.8260869565217391,0.0,0.0
"(2, 5, 8, 10, 12)",0.8695652173913043,"[0.9997, 0.9999]",0.7536231884057971,0.41379310344827586,1.0,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75
"(2, 5, 8, 11, 12)",0.7971014492753623,"[0.9981000000000001, 1.0]",0.7536231884057971,0.4,0.8333333333333334,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334
"(2, 6, 7, 8, 9)",0.8260869565217391,"[0.5001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(2, 6, 7, 8, 10)",0.8260869565217391,"[0.5001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(2, 6, 7, 8, 11)",0.8985507246376812,"[1.0, 1.0]",0.8115942028985508,0.47619047619047616,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.6,0.75,0.8695652173913043,0.6,0.75
"(2, 6, 7, 8, 12)",0.8260869565217391,"[1.0, 1.0]",0.2318840579710145,0.18461538461538463,1.0,0.2463768115942029,0.1875,1.0,0.30434782608695654,0.2,1.0,0.37681159420289856,0.21818181818181817,1.0,0.4492753623188406,0.22916666666666666,0.9166666666666666
"(2, 6, 8, 9, 10)",0.9130434782608695,"[0.9999, 0.9999]",0.7246376811594203,0.3870967741935484,1.0,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7971014492753623,0.4583333333333333,0.9166666666666666,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8985507246376812,0.6923076923076923,0.75
"(2, 6, 8, 9, 11)",0.8840579710144928,"[0.9994000000000001, 1.0]",0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334
"(1, 2, 5, 8, 10)",0.8695652173913043,"[0.8399000000000001, 0.8906000000000001]",0.8260869565217391,0.5,0.75,0.855072463768116,0.6,0.5,0.782608695652174,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(2, 6, 8, 9, 12)",0.2463768115942029,"[1.0, 1.0]",0.21739130434782608,0.18181818181818182,1.0,0.21739130434782608,0.18181818181818182,1.0,0.21739130434782608,0.18181818181818182,1.0,0.2028985507246377,0.16923076923076924,0.9166666666666666,0.2028985507246377,0.15873015873015872,0.8333333333333334
"(2, 6, 8, 10, 11)",0.8985507246376812,"[0.9338000000000001, 0.9945]",0.8840579710144928,0.625,0.8333333333333334,0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8405797101449275,0.5714285714285714,0.3333333333333333
"(2, 6, 8, 10, 12)",0.8840579710144928,"[0.9999, 0.9999]",0.5072463768115942,0.2608695652173913,1.0,0.5942028985507246,0.3,1.0,0.6231884057971014,0.3055555555555556,0.9166666666666666,0.782608695652174,0.43478260869565216,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334
"(2, 6, 8, 11, 12)",0.8695652173913043,"[1.0, 1.0]",0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7536231884057971,0.4,0.8333333333333334,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334
"(2, 7, 8, 9, 10)",0.8405797101449275,"[0.9856, 0.9965]",0.7681159420289855,0.4090909090909091,0.75,0.7681159420289855,0.375,0.5,0.8115942028985508,0.46153846153846156,0.5,0.8260869565217391,0.5,0.4166666666666667,0.782608695652174,0.2,0.08333333333333333
"(2, 7, 8, 9, 11)",0.8695652173913043,"[0.9089, 0.9999]",0.855072463768116,0.5555555555555556,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.855072463768116,0.5625,0.75
"(2, 7, 8, 9, 12)",0.2753623188405797,"[1.0, 1.0]",0.18840579710144928,0.17647058823529413,1.0,0.2028985507246377,0.1791044776119403,1.0,0.2318840579710145,0.18461538461538463,1.0,0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0
"(2, 7, 8, 10, 11)",0.8840579710144928,"[0.6983, 0.999]",0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8695652173913043,0.6153846153846154,0.6666666666666666,0.8695652173913043,0.6363636363636364,0.5833333333333334,0.8840579710144928,1.0,0.3333333333333333
"(2, 7, 8, 10, 12)",0.8695652173913043,"[0.9992000000000001, 0.9999]",0.7101449275362319,0.36666666666666664,0.9166666666666666,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7971014492753623,0.4583333333333333,0.9166666666666666,0.8260869565217391,0.5,0.8333333333333334,0.855072463768116,0.5625,0.75
"(2, 7, 8, 11, 12)",0.8695652173913043,"[1.0, 1.0]",0.7536231884057971,0.4,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334
"(1, 2, 5, 8, 11)",0.8840579710144928,"[0.9998, 0.9998]",0.8260869565217391,0.5,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334
"(1, 2, 3, 5, 8)",0.855072463768116,"[0.9998, 0.9999]",0.782608695652174,0.44,0.9166666666666666,0.7971014492753623,0.4583333333333333,0.9166666666666666,0.8115942028985508,0.4782608695652174,0.9166666666666666,0.782608695652174,0.42857142857142855,0.75,0.8260869565217391,0.5,0.75
"(2, 8, 9, 10, 11)",0.8985507246376812,"[0.9627, 0.9987]",0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8840579710144928,0.625,0.8333333333333334,0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6666666666666666,0.6666666666666666
"(2, 8, 9, 10, 12)",0.8695652173913043,"[0.9997, 0.9999]",0.5797101449275363,0.28205128205128205,0.9166666666666666,0.6811594202898551,0.34375,0.9166666666666666,0.6956521739130435,0.3448275862068966,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.855072463768116,0.5625,0.75
"(2, 8, 9, 11, 12)",0.8405797101449275,"[1.0, 1.0]",0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334
"(2, 8, 10, 11, 12)",0.8840579710144928,"[0.9792000000000001, 0.9946]",0.782608695652174,0.43478260869565216,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8840579710144928,0.6428571428571429,0.75,0.8695652173913043,0.6363636363636364,0.5833333333333334
"(3, 4, 5, 6, 8)",0.8695652173913043,"[1.0, 1.0]",0.782608695652174,0.43478260869565216,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334
"(3, 4, 5, 7, 8)",0.8695652173913043,"[1.0, 1.0]",0.7246376811594203,0.3793103448275862,0.9166666666666666,0.7101449275362319,0.35714285714285715,0.8333333333333334,0.7246376811594203,0.37037037037037035,0.8333333333333334,0.7391304347826086,0.38461538461538464,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334
"(3, 4, 5, 8, 9)",0.855072463768116,"[1.0, 1.0]",0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334
"(3, 4, 5, 8, 10)",0.8985507246376812,"[0.9998, 0.9999]",0.7536231884057971,0.41379310344827586,1.0,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.6,0.75
"(3, 4, 5, 8, 11)",0.8985507246376812,"[0.9826, 0.9995]",0.8695652173913043,0.6,0.75,0.8695652173913043,0.6,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8985507246376812,0.6923076923076923,0.75
"(3, 4, 5, 8, 12)",0.6521739130434783,"[1.0, 1.0]",0.15942028985507245,0.16176470588235295,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.2028985507246377,0.16923076923076924,0.9166666666666666,0.2608695652173913,0.18032786885245902,0.9166666666666666
"(1, 2, 5, 8, 12)",0.8260869565217391,"[1.0, 1.0]",0.463768115942029,0.24489795918367346,1.0,0.4927536231884058,0.2553191489361702,1.0,0.5652173913043478,0.2857142857142857,1.0,0.6666666666666666,0.34285714285714286,1.0,0.7246376811594203,0.37037037037037035,0.8333333333333334
"(3, 4, 6, 7, 8)",0.855072463768116,"[0.9999, 0.9999]",0.7101449275362319,0.375,1.0,0.7101449275362319,0.375,1.0,0.7391304347826086,0.4,1.0,0.782608695652174,0.44,0.9166666666666666,0.8260869565217391,0.5,0.8333333333333334
"(3, 4, 6, 8, 9)",0.8695652173913043,"[1.0, 1.0]",0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334
"(3, 4, 6, 8, 10)",0.8695652173913043,"[1.0, 1.0]",0.7536231884057971,0.41379310344827586,1.0,0.7536231884057971,0.41379310344827586,1.0,0.7681159420289855,0.42857142857142855,1.0,0.8115942028985508,0.4782608695652174,0.9166666666666666,0.855072463768116,0.5555555555555556,0.8333333333333334
"(3, 4, 6, 8, 11)",0.8985507246376812,"[0.9828, 0.9999]",0.8695652173913043,0.6,0.75,0.8695652173913043,0.6,0.75,0.8695652173913043,0.6,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8985507246376812,0.6923076923076923,0.75
"(3, 4, 6, 8, 12)",0.7246376811594203,"[1.0, 1.0]",0.2898550724637681,0.1864406779661017,0.9166666666666666,0.34782608695652173,0.2,0.9166666666666666,0.391304347826087,0.21153846153846154,0.9166666666666666,0.4927536231884058,0.24444444444444444,0.9166666666666666,0.6086956521739131,0.2972972972972973,0.9166666666666666
"(3, 4, 7, 8, 9)",0.855072463768116,"[1.0, 1.0]",0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334
"(3, 4, 7, 8, 10)",0.8840579710144928,"[0.9991000000000001, 0.9996]",0.7681159420289855,0.4230769230769231,0.9166666666666666,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45,0.75,0.8260869565217391,0.5,0.75,0.8695652173913043,0.6,0.75
"(3, 4, 7, 8, 11)",0.8260869565217391,"[0.5001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 4, 7, 8, 12)",0.2608695652173913,"[1.0, 1.0]",0.18840579710144928,0.17647058823529413,1.0,0.18840579710144928,0.17647058823529413,1.0,0.18840579710144928,0.17647058823529413,1.0,0.21739130434782608,0.18181818181818182,1.0,0.2463768115942029,0.1875,1.0
"(3, 4, 8, 9, 10)",0.8695652173913043,"[0.9958, 0.9999]",0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334
"(1, 2, 6, 7, 8)",0.8260869565217391,"[0.5001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 4, 8, 9, 11)",0.8260869565217391,"[0.5001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 4, 8, 9, 12)",0.2028985507246377,"[1.0, 1.0]",0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666
"(3, 4, 8, 10, 11)",0.855072463768116,"[0.9107000000000001, 0.9405]",0.7536231884057971,0.35294117647058826,0.5,0.8260869565217391,0.5,0.5,0.8260869565217391,0.5,0.3333333333333333,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 4, 8, 10, 12)",0.8695652173913043,"[0.8421000000000001, 0.8500000000000001]",0.8115942028985508,0.47368421052631576,0.75,0.8115942028985508,0.42857142857142855,0.25,0.7971014492753623,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 4, 8, 11, 12)",0.855072463768116,"[1.0, 1.0]",0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334
"(3, 5, 6, 7, 8)",0.8405797101449275,"[1.0, 1.0]",0.6956521739130435,0.3548387096774194,0.9166666666666666,0.6956521739130435,0.3548387096774194,0.9166666666666666,0.7101449275362319,0.36666666666666664,0.9166666666666666,0.7391304347826086,0.38461538461538464,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334
"(3, 5, 6, 8, 9)",0.855072463768116,"[1.0, 1.0]",0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334
"(3, 5, 6, 8, 10)",0.8695652173913043,"[0.9985, 0.9999]",0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75,0.8695652173913043,0.6,0.75
"(3, 5, 6, 8, 11)",0.8695652173913043,"[0.42360000000000003, 0.5]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 5, 6, 8, 12)",0.7681159420289855,"[1.0, 1.0]",0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.17391304347826086,0.16417910447761194,0.9166666666666666,0.2318840579710145,0.1746031746031746,0.9166666666666666,0.2753623188405797,0.18333333333333332,0.9166666666666666
"(1, 2, 6, 8, 9)",0.8405797101449275,"[1.0, 1.0]",0.7681159420289855,0.4166666666666667,0.8333333333333334,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334
"(3, 5, 7, 8, 9)",0.855072463768116,"[1.0, 1.0]",0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334
"(3, 5, 7, 8, 10)",0.8985507246376812,"[0.9999, 0.9999]",0.7536231884057971,0.41379310344827586,1.0,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75,0.8695652173913043,0.6,0.75
"(3, 5, 7, 8, 11)",0.8985507246376812,"[0.9993000000000001, 0.9996]",0.855072463768116,0.5625,0.75,0.8695652173913043,0.6,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6428571428571429,0.75
"(3, 5, 7, 8, 12)",0.855072463768116,"[1.0, 1.0]",0.2608695652173913,0.19047619047619047,1.0,0.30434782608695654,0.2,1.0,0.3333333333333333,0.20689655172413793,1.0,0.4057971014492754,0.22641509433962265,1.0,0.463768115942029,0.23404255319148937,0.9166666666666666
"(3, 5, 8, 9, 10)",0.8985507246376812,"[0.997, 0.9995]",0.7971014492753623,0.4583333333333333,0.9166666666666666,0.8260869565217391,0.5,0.9166666666666666,0.8260869565217391,0.5,0.75,0.8695652173913043,0.6,0.75,0.8985507246376812,0.6923076923076923,0.75
"(3, 5, 8, 9, 11)",0.8840579710144928,"[0.9926, 0.9991000000000001]",0.8405797101449275,0.5263157894736842,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.6,0.75,0.8840579710144928,0.6428571428571429,0.75
"(3, 5, 8, 9, 12)",0.2463768115942029,"[0.9715, 0.999]",0.21739130434782608,0.18181818181818182,1.0,0.21739130434782608,0.18181818181818182,1.0,0.21739130434782608,0.18181818181818182,1.0,0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0
"(3, 5, 8, 10, 11)",0.8985507246376812,"[0.9677, 0.9774]",0.8260869565217391,0.5,0.8333333333333334,0.855072463768116,0.5625,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8695652173913043,0.6363636363636364,0.5833333333333334,0.782608695652174,0.0,0.0
"(3, 5, 8, 10, 12)",0.8695652173913043,"[0.9998, 0.9999]",0.5217391304347826,0.2558139534883721,0.9166666666666666,0.6086956521739131,0.2972972972972973,0.9166666666666666,0.6956521739130435,0.3548387096774194,0.9166666666666666,0.782608695652174,0.43478260869565216,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334
"(3, 5, 8, 11, 12)",0.8985507246376812,"[0.9997, 0.9999]",0.7101449275362319,0.35714285714285715,0.8333333333333334,0.7536231884057971,0.4,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.6,0.75
"(1, 2, 6, 8, 10)",0.8695652173913043,"[0.9995, 0.9999]",0.7536231884057971,0.41379310344827586,1.0,0.7536231884057971,0.4,0.8333333333333334,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75
"(3, 6, 7, 8, 9)",0.8695652173913043,"[1.0, 1.0]",0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334
"(3, 6, 7, 8, 10)",0.8695652173913043,"[0.9996, 0.9999]",0.7681159420289855,0.4166666666666667,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8260869565217391,0.5,0.75,0.855072463768116,0.5625,0.75
"(3, 6, 7, 8, 11)",0.8985507246376812,"[1.0, 1.0]",0.7681159420289855,0.4166666666666667,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.855072463768116,0.5625,0.75,0.8695652173913043,0.6,0.75
"(3, 6, 7, 8, 12)",0.855072463768116,"[1.0, 1.0]",0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0,0.2608695652173913,0.19047619047619047,1.0,0.3333333333333333,0.20689655172413793,1.0,0.43478260869565216,0.22448979591836735,0.9166666666666666
"(3, 6, 8, 9, 10)",0.8985507246376812,"[0.9929, 0.9989]",0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8115942028985508,0.47368421052631576,0.75,0.855072463768116,0.5625,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6666666666666666,0.6666666666666666
"(3, 6, 8, 9, 11)",0.8840579710144928,"[0.9999, 1.0]",0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334
"(3, 6, 8, 9, 12)",0.2753623188405797,"[1.0, 1.0]",0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0,0.2318840579710145,0.1746031746031746,0.9166666666666666
"(3, 6, 8, 10, 11)",0.9130434782608695,"[1.0, 1.0]",0.8840579710144928,0.625,0.8333333333333334,0.8840579710144928,0.625,0.8333333333333334,0.8840579710144928,0.625,0.8333333333333334,0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75
"(3, 6, 8, 10, 12)",0.8840579710144928,"[0.9998, 0.9999]",0.5217391304347826,0.26666666666666666,1.0,0.6086956521739131,0.3076923076923077,1.0,0.7246376811594203,0.3870967741935484,1.0,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8695652173913043,0.6,0.75
"(3, 6, 8, 11, 12)",0.8405797101449275,"[1.0, 1.0]",0.782608695652174,0.43478260869565216,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334
"(1, 2, 6, 8, 11)",0.8985507246376812,"[1.0, 1.0]",0.855072463768116,0.5555555555555556,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.6,0.75,0.8695652173913043,0.6,0.75
"(3, 7, 8, 9, 10)",0.8840579710144928,"[0.9993000000000001, 0.9999]",0.7681159420289855,0.4166666666666667,0.8333333333333334,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8260869565217391,0.5,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75,0.8695652173913043,0.6,0.75
"(3, 7, 8, 9, 11)",0.8840579710144928,"[1.0, 1.0]",0.7101449275362319,0.36666666666666664,0.9166666666666666,0.7246376811594203,0.3793103448275862,0.9166666666666666,0.7246376811594203,0.3793103448275862,0.9166666666666666,0.7681159420289855,0.4166666666666667,0.8333333333333334,0.8115942028985508,0.47619047619047616,0.8333333333333334
"(3, 7, 8, 9, 12)",0.34782608695652173,"[1.0, 1.0]",0.2463768115942029,0.1875,1.0,0.2463768115942029,0.1875,1.0,0.2318840579710145,0.1746031746031746,0.9166666666666666,0.2318840579710145,0.1746031746031746,0.9166666666666666,0.2463768115942029,0.1774193548387097,0.9166666666666666
"(3, 7, 8, 10, 11)",0.8985507246376812,"[0.7036, 0.9994000000000001]",0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8985507246376812,0.8571428571428571,0.5
"(3, 7, 8, 10, 12)",0.8260869565217391,"[0.5001, 1.0]",0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0,0.8260869565217391,0.0,0.0
"(3, 7, 8, 11, 12)",0.8985507246376812,"[1.0, 1.0]",0.6811594202898551,0.3333333333333333,0.8333333333333334,0.7536231884057971,0.4,0.8333333333333334,0.782608695652174,0.43478260869565216,0.8333333333333334,0.8405797101449275,0.5263157894736842,0.8333333333333334,0.8405797101449275,0.5294117647058824,0.75
"(3, 8, 9, 10, 11)",0.8985507246376812,"[0.9999, 0.9999]",0.855072463768116,0.5555555555555556,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8695652173913043,0.6,0.75,0.8840579710144928,0.6428571428571429,0.75
"(3, 8, 9, 10, 12)",0.8985507246376812,"[0.9998, 0.9999]",0.5797101449275363,0.2926829268292683,1.0,0.7246376811594203,0.3870967741935484,1.0,0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7971014492753623,0.45454545454545453,0.8333333333333334,0.8695652173913043,0.6,0.75
"(3, 8, 9, 11, 12)",0.8695652173913043,"[1.0, 1.0]",0.7536231884057971,0.4074074074074074,0.9166666666666666,0.7681159420289855,0.4230769230769231,0.9166666666666666,0.782608695652174,0.44,0.9166666666666666,0.782608695652174,0.44,0.9166666666666666,0.8115942028985508,0.47619047619047616,0.8333333333333334
"(3, 8, 10, 11, 12)",0.8985507246376812,"[0.9065000000000001, 0.9634]",0.8695652173913043,0.5882352941176471,0.8333333333333334,0.8840579710144928,0.6428571428571429,0.75,0.8985507246376812,0.6923076923076923,0.75,0.8695652173913043,0.6666666666666666,0.5,0.8260869565217391,0.0,0.0
